candidate_id,status,max_model_len,max_num_seqs,max_num_batched_tokens,batch_policy,risk_tier,load_skip_reason,token_budget_m,startup_seconds,kv_cache_tokens,reported_concurrency,system_memory_drop_gib,tegrastats_baseline_ram_used_gib,tegrastats_ram_delta_gib,tegrastats_max_ram_used_gib,tegrastats_max_temp_c,tegrastats_samples,tegrastats_gpu_field_seen,idle_memory_gib,idle_memory_peak_gib,load_memory_gib,load_memory_peak_gib,load_successes,load_errors,completion_tok_s,total_tok_s,latency_p50,latency_p95
ctx16384-seq1-match_context,load_complete,16384,1,16384,match_context,low,,0.016384,146.062,533629,32.57,79.552,8.168,79.968,88.136,69.0,158,False,3.807,10.884,3.829,10.884,1,0,17.991,525.399,3.557,3.557
ctx16384-seq1-small,load_complete,16384,1,8192,small,low,,0.016384,145.962,919235,56.11,82.348,8.279,81.422,89.701,65.4,158,False,4.184,10.89,4.207,10.89,1,0,18.081,528.028,3.539,3.539
ctx4096-seq8-match_context,load_complete,4096,8,4096,match_context,medium,,0.032768,147.442,562659,137.37,82.215,8.26,82.148,90.408,64.7,159,False,4.009,10.93,4.057,10.93,8,0,146.153,4268.125,3.5,3.502
ctx4096-seq8-small,load_complete,4096,8,4096,small,medium,,0.032768,141.017,563346,137.54,81.597,8.201,82.372,90.573,66.1,152,False,4.069,10.899,4.11,10.899,8,0,195.364,5705.24,2.604,2.618
ctx8192-seq4-match_context,load_complete,8192,4,8192,match_context,low,,0.032768,146.002,552424,67.43,82.292,8.257,81.35,89.606,68.4,158,False,4.564,11.212,4.587,11.212,4,0,75.172,2195.25,3.391,3.404
ctx8192-seq4-small,load_complete,8192,4,8192,small,low,,0.032768,140.92,552839,67.49,81.531,8.195,81.421,89.616,71.9,153,False,3.868,10.837,3.898,10.837,4,0,78.069,2279.859,3.277,3.278
ctx16384-seq2-match_context,load_complete,16384,2,16384,match_context,low,,0.032768,145.99,532362,32.49,80.074,8.177,79.917,88.094,68.5,158,False,3.9,10.884,3.955,10.884,2,0,32.591,951.748,3.909,3.924
ctx16384-seq2-small,load_complete,16384,2,8192,small,low,,0.032768,146.069,915594,55.88,81.231,8.255,81.126,89.381,65.5,158,False,3.856,10.837,3.882,10.837,2,0,40.452,1181.326,3.145,3.145
ctx32768-seq1-match_context,load_complete,32768,1,32768,match_context,medium,,0.032768,145.975,497039,15.17,77.431,8.173,77.128,85.301,72.3,158,False,4.003,11.025,4.025,11.025,1,0,18.017,526.154,3.552,3.552
ctx32768-seq1-small,load_complete,32768,1,8192,small,medium,,0.032768,140.948,1598347,48.78,81.492,8.242,81.396,89.638,72.2,153,False,3.905,10.837,3.927,10.837,1,0,18.371,536.501,3.483,3.483
ctx4096-seq16-match_context,load_complete,4096,16,4096,match_context,medium,,0.065536,151.075,560320,136.8,81.539,8.193,82.035,90.229,66.6,164,False,4.144,10.991,4.141,10.991,16,0,221.812,6477.595,4.611,4.613
ctx4096-seq16-small,load_complete,4096,16,4096,small,medium,,0.065536,141.96,556948,135.97,81.637,8.19,81.847,90.037,65.8,154,False,4.019,11.005,4.078,11.005,16,0,283.262,8272.122,3.609,3.613
ctx8192-seq8-match_context,load_complete,8192,8,8192,match_context,medium,,0.065536,151.143,553028,67.51,81.852,8.263,81.39,89.652,65.6,163,False,4.082,10.943,4.133,10.943,8,0,147.577,4309.712,3.465,3.466
ctx8192-seq8-small,load_complete,8192,8,8192,small,medium,,0.065536,141.444,554854,67.73,82.429,8.287,81.485,89.772,65.7,152,False,3.7,10.846,3.741,10.846,8,0,195.998,5723.746,2.582,2.609
ctx16384-seq4-match_context,load_complete,16384,4,16384,match_context,low,,0.065536,146.91,534388,32.62,80.281,8.229,80.117,88.346,67.3,159,False,3.939,10.884,3.963,10.884,4,0,75.952,2218.049,3.355,3.369
ctx16384-seq4-small,load_complete,16384,4,8192,small,low,,0.065536,145.983,921671,56.25,81.089,8.382,81.155,89.537,72.9,157,False,3.957,10.821,3.92,10.821,4,0,80.703,2356.778,3.167,3.168
ctx32768-seq2-match_context,load_complete,32768,2,32768,match_context,medium,,0.065536,145.978,496399,15.15,78.424,8.185,77.275,85.46,69.1,157,False,4.251,11.091,4.277,11.091,2,0,41.603,1214.93,3.076,3.076
ctx32768-seq2-small,load_complete,32768,2,8192,small,medium,,0.065536,146.022,1590023,48.52,81.217,8.394,81.115,89.509,68.8,158,False,3.977,10.895,4.033,10.895,2,0,32.064,936.373,3.974,3.989
ctx65536-seq1-match_context,load_complete,65536,1,65536,match_context,medium,,0.065536,151.228,415174,6.34,71.202,8.261,70.658,78.919,66.7,163,False,4.23,11.262,4.248,11.262,1,0,18.496,540.14,3.46,3.46
ctx65536-seq1-small,load_complete,65536,1,8192,small,medium,,0.065536,145.992,2512740,38.34,80.953,8.322,81.414,89.736,67.9,158,False,3.867,10.838,3.89,10.838,1,0,17.792,519.585,3.596,3.596
ctx4096-seq24-match_context,startup_only,4096,24,4096,match_context,high,risk_guard(high),0.098304,151.768,564474,137.81,83.205,8.707,82.141,90.848,74.6,160,False,3.864,10.807,,,,,,,,
ctx4096-seq24-small,startup_only,4096,24,4096,small,high,risk_guard(high),0.098304,141.406,562383,137.3,81.81,8.326,82.075,90.401,65.6,150,False,4.05,11.053,,,,,,,,
ctx98304-seq1-match_context,load_complete,98304,1,98304,match_context,medium,,0.098304,161.518,322675,3.28,64.975,8.372,63.07,71.442,74.5,173,False,4.916,11.857,4.935,11.857,1,0,18.362,536.231,3.485,3.485
